  Global optimal solution found.
  Objective value:                              17.00000
  Extended solver steps:                            9859
  Total solver iterations:                       8496226


                       Variable           Value        Reduced Cost
                   DURATION( 1)        2.000000            0.000000
                   DURATION( 2)        4.000000            0.000000
                   DURATION( 3)        1.000000            0.000000
                   DURATION( 4)        3.000000            0.000000
                   DURATION( 5)        3.000000            0.000000
                   DURATION( 6)        2.000000            0.000000
                   DURATION( 7)        5.000000            0.000000
                   DURATION( 8)        7.000000            0.000000
                   DURATION( 9)        6.000000            0.000000
                       P( 1, 1)        1.000000            0.000000
                       P( 1, 2)        1.000000            0.000000
                       P( 1, 4)        1.000000            0.000000
                       P( 1, 6)        1.000000            0.000000
                       P( 1, 7)        1.000000            0.000000
                       P( 1, 9)        1.000000            0.000000
                       P( 2, 1)        1.000000            0.000000
                       P( 2, 2)        1.000000            0.000000
                       P( 2, 4)        1.000000            0.000000
                       P( 2, 5)        1.000000            0.000000
                       P( 2, 6)        1.000000            0.000000
                       P( 2, 8)        1.000000            0.000000
                       P( 3, 1)        1.000000            0.000000
                       P( 3, 2)        1.000000            0.000000
                       P( 3, 7)        1.000000            0.000000
                       P( 3, 8)        1.000000            0.000000
                       P( 4, 1)        1.000000            0.000000
                       P( 4, 5)        1.000000            0.000000
                       P( 4, 6)        1.000000            0.000000
                       P( 4, 9)        1.000000            0.000000
                       P( 5, 3)        1.000000            0.000000
                       P( 5, 5)        1.000000            0.000000
                       P( 5, 6)        1.000000            0.000000
                       P( 5, 7)        1.000000            0.000000
                       P( 5, 8)        1.000000            0.000000
                      PS( 1, 1)        1.000000            0.000000
                      PS( 1, 2)        1.000000            0.000000
                      PS( 1, 3)        1.000000            0.000000
                      PS( 1, 4)        1.000000            0.000000
                      PS( 1, 5)        1.000000            0.000000
                      PS( 1, 6)        1.000000            0.000000
                      PS( 1, 7)        1.000000            0.000000
                      PS( 1, 8)        1.000000            0.000000
                      PS( 1, 9)        1.000000            0.000000
                     PS( 1, 10)        1.000000            0.000000
                     PS( 1, 11)        1.000000            0.000000
                     PS( 1, 15)        1.000000            0.000000
                     PS( 1, 16)        1.000000            0.000000
                     PS( 1, 17)        1.000000            0.000000
                     PS( 1, 18)        1.000000            0.000000
                     PS( 1, 19)        1.000000            0.000000
                     PS( 1, 20)        1.000000            0.000000
                     PS( 1, 21)        1.000000            0.000000
                     PS( 1, 22)        1.000000            0.000000
                     PS( 1, 23)        1.000000            0.000000
                     PS( 1, 24)        1.000000            0.000000
                     PS( 1, 25)        1.000000            0.000000
                      PS( 2, 7)        1.000000            0.000000
                      PS( 2, 8)        1.000000            0.000000
                      PS( 2, 9)        1.000000            0.000000
                     PS( 2, 10)        1.000000            0.000000
                     PS( 2, 11)        1.000000            0.000000
                     PS( 2, 12)        1.000000            0.000000
                     PS( 2, 13)        1.000000            0.000000
                     PS( 2, 14)        1.000000            0.000000
                     PS( 2, 15)        1.000000            0.000000
                     PS( 2, 16)        1.000000            0.000000
                     PS( 2, 17)        1.000000            0.000000
                     PS( 2, 18)        1.000000            0.000000
                     PS( 2, 19)        1.000000            0.000000
                     PS( 2, 20)        1.000000            0.000000
                     PS( 2, 26)        1.000000            0.000000
                     PS( 2, 27)        1.000000            0.000000
                     PS( 2, 28)        1.000000            0.000000
                     PS( 2, 29)        1.000000            0.000000
                     PS( 2, 30)        1.000000            0.000000
                     PS( 2, 31)        1.000000            0.000000
                     PS( 2, 32)        1.000000            0.000000
                     PS( 3, 15)        1.000000            0.000000
                     PS( 3, 16)        1.000000            0.000000
                     PS( 3, 17)        1.000000            0.000000
                     PS( 3, 18)        1.000000            0.000000
                     PS( 3, 19)        1.000000            0.000000
                     PS( 3, 20)        1.000000            0.000000
                     PS( 3, 21)        1.000000            0.000000
                     PS( 3, 22)        1.000000            0.000000
                     PS( 3, 23)        1.000000            0.000000
                     PS( 3, 24)        1.000000            0.000000
                     PS( 3, 25)        1.000000            0.000000
                     PS( 3, 26)        1.000000            0.000000
                     PS( 3, 27)        1.000000            0.000000
                     PS( 3, 28)        1.000000            0.000000
                     PS( 3, 29)        1.000000            0.000000
                     PS( 3, 30)        1.000000            0.000000
                     PS( 3, 31)        1.000000            0.000000
                     PS( 3, 32)        1.000000            0.000000
                      PS( 4, 1)        1.000000            0.000000
                      PS( 4, 2)        1.000000            0.000000
                      PS( 4, 3)        1.000000            0.000000
                      PS( 4, 4)        1.000000            0.000000
                      PS( 4, 5)        1.000000            0.000000
                      PS( 4, 6)        1.000000            0.000000
                     PS( 4, 10)        1.000000            0.000000
                     PS( 4, 11)        1.000000            0.000000
                     PS( 4, 12)        1.000000            0.000000
                     PS( 4, 13)        1.000000            0.000000
                     PS( 4, 14)        1.000000            0.000000
                     PS( 4, 15)        1.000000            0.000000
                     PS( 4, 16)        1.000000            0.000000
                     PS( 5, 10)        1.000000            0.000000
                     PS( 5, 11)        1.000000            0.000000
                     PS( 5, 12)        1.000000            0.000000
                     PS( 5, 13)        1.000000            0.000000
                     PS( 5, 14)        1.000000            0.000000
                     PS( 5, 21)        1.000000            0.000000
                     PS( 5, 22)        1.000000            0.000000
                     PS( 5, 23)        1.000000            0.000000
                     PS( 5, 24)        1.000000            0.000000
                     PS( 5, 25)        1.000000            0.000000
                     PS( 5, 26)        1.000000            0.000000
                     PS( 5, 27)        1.000000            0.000000
                     PS( 5, 28)        1.000000            0.000000
                     PS( 5, 29)        1.000000            0.000000
                     PS( 5, 30)        1.000000            0.000000
                     PS( 5, 31)        1.000000            0.000000
                     PS( 5, 32)        1.000000            0.000000
                     PS( 5, 33)        1.000000            0.000000
                      TT( 1, 9)        1.000000            0.000000
                      TT( 2, 9)        1.000000            0.000000
                      TT( 3, 9)        1.000000            0.000000
                      TT( 4, 9)        1.000000            0.000000
                      TT( 5, 9)        1.000000            0.000000
                      TT( 6, 9)        1.000000            0.000000
                      TT( 7, 4)        1.000000            0.000000
                      TT( 8, 4)        1.000000            0.000000
                      TT( 9, 4)        1.000000            0.000000
                     TT( 10, 6)        1.000000            0.000000
                     TT( 11, 6)        1.000000            0.000000
                     TT( 12, 5)        1.000000            0.000000
                     TT( 13, 5)        1.000000            0.000000
                     TT( 14, 5)        1.000000            0.000000
                     TT( 15, 1)        1.000000            0.000000
                     TT( 16, 1)        1.000000            0.000000
                     TT( 17, 2)        1.000000            0.000000
                     TT( 18, 2)        1.000000            0.000000
                     TT( 19, 2)        1.000000            0.000000
                     TT( 20, 2)        1.000000            0.000000
                     TT( 21, 7)        1.000000            0.000000
                     TT( 22, 7)        1.000000            0.000000
                     TT( 23, 7)        1.000000            0.000000
                     TT( 24, 7)        1.000000            0.000000
                     TT( 25, 7)        1.000000            0.000000
                     TT( 26, 8)        1.000000            0.000000
                     TT( 27, 8)        1.000000            0.000000
                     TT( 28, 8)        1.000000            0.000000
                     TT( 29, 8)        1.000000            0.000000
                     TT( 30, 8)        1.000000            0.000000
                     TT( 31, 8)        1.000000            0.000000
                     TT( 32, 8)        1.000000            0.000000
                     TT( 33, 3)        1.000000            0.000000
                      TS( 1, 9)        1.000000            0.000000
                      TS( 2, 9)        1.000000            0.000000
                      TS( 3, 9)        1.000000            0.000000
                      TS( 4, 9)        1.000000            0.000000
                      TS( 5, 9)        1.000000            0.000000
                      TS( 6, 9)        1.000000            0.000000
                      TS( 7, 4)        1.000000            0.000000
                      TS( 7, 9)        1.000000            0.000000
                      TS( 8, 4)        1.000000            0.000000
                      TS( 8, 9)        1.000000            0.000000
                      TS( 9, 4)        1.000000            0.000000
                      TS( 9, 9)        1.000000            0.000000
                     TS( 10, 4)        1.000000            0.000000
                     TS( 10, 6)        1.000000            0.000000
                     TS( 10, 9)        1.000000            0.000000
                     TS( 11, 4)        1.000000            0.000000
                     TS( 11, 6)        1.000000            0.000000
                     TS( 11, 9)        1.000000            0.000000
                     TS( 12, 4)        1.000000            0.000000
                     TS( 12, 5)        1.000000            0.000000
                     TS( 12, 6)        1.000000            0.000000
                     TS( 12, 9)        1.000000            0.000000
                     TS( 13, 4)        1.000000            0.000000
                     TS( 13, 5)        1.000000            0.000000
                     TS( 13, 6)        1.000000            0.000000
                     TS( 13, 9)        1.000000            0.000000
                     TS( 14, 4)        1.000000            0.000000
                     TS( 14, 5)        1.000000            0.000000
                     TS( 14, 6)        1.000000            0.000000
                     TS( 14, 9)        1.000000            0.000000
                     TS( 15, 1)        1.000000            0.000000
                     TS( 15, 4)        1.000000            0.000000
                     TS( 15, 5)        1.000000            0.000000
                     TS( 15, 6)        1.000000            0.000000
                     TS( 15, 9)        1.000000            0.000000
                     TS( 16, 1)        1.000000            0.000000
                     TS( 16, 4)        1.000000            0.000000
                     TS( 16, 5)        1.000000            0.000000
                     TS( 16, 6)        1.000000            0.000000
                     TS( 16, 9)        1.000000            0.000000
                     TS( 17, 1)        1.000000            0.000000
                     TS( 17, 2)        1.000000            0.000000
                     TS( 17, 4)        1.000000            0.000000
                     TS( 17, 5)        1.000000            0.000000
                     TS( 17, 6)        1.000000            0.000000
                     TS( 17, 9)        1.000000            0.000000
                     TS( 18, 1)        1.000000            0.000000
                     TS( 18, 2)        1.000000            0.000000
                     TS( 18, 4)        1.000000            0.000000
                     TS( 18, 5)        1.000000            0.000000
                     TS( 18, 6)        1.000000            0.000000
                     TS( 18, 9)        1.000000            0.000000
                     TS( 19, 1)        1.000000            0.000000
                     TS( 19, 2)        1.000000            0.000000
                     TS( 19, 4)        1.000000            0.000000
                     TS( 19, 5)        1.000000            0.000000
                     TS( 19, 6)        1.000000            0.000000
                     TS( 19, 9)        1.000000            0.000000
                     TS( 20, 1)        1.000000            0.000000
                     TS( 20, 2)        1.000000            0.000000
                     TS( 20, 4)        1.000000            0.000000
                     TS( 20, 5)        1.000000            0.000000
                     TS( 20, 6)        1.000000            0.000000
                     TS( 20, 9)        1.000000            0.000000
                     TS( 21, 1)        1.000000            0.000000
                     TS( 21, 2)        1.000000            0.000000
                     TS( 21, 4)        1.000000            0.000000
                     TS( 21, 5)        1.000000            0.000000
                     TS( 21, 6)        1.000000            0.000000
                     TS( 21, 7)        1.000000            0.000000
                     TS( 21, 9)        1.000000            0.000000
                     TS( 22, 1)        1.000000            0.000000
                     TS( 22, 2)        1.000000            0.000000
                     TS( 22, 4)        1.000000            0.000000
                     TS( 22, 5)        1.000000            0.000000
                     TS( 22, 6)        1.000000            0.000000
                     TS( 22, 7)        1.000000            0.000000
                     TS( 22, 9)        1.000000            0.000000
                     TS( 23, 1)        1.000000            0.000000
                     TS( 23, 2)        1.000000            0.000000
                     TS( 23, 4)        1.000000            0.000000
                     TS( 23, 5)        1.000000            0.000000
                     TS( 23, 6)        1.000000            0.000000
                     TS( 23, 7)        1.000000            0.000000
                     TS( 23, 9)        1.000000            0.000000
                     TS( 24, 1)        1.000000            0.000000
                     TS( 24, 2)        1.000000            0.000000
                     TS( 24, 4)        1.000000            0.000000
                     TS( 24, 5)        1.000000            0.000000
                     TS( 24, 6)        1.000000            0.000000
                     TS( 24, 7)        1.000000            0.000000
                     TS( 24, 9)        1.000000            0.000000
                     TS( 25, 1)        1.000000            0.000000
                     TS( 25, 2)        1.000000            0.000000
                     TS( 25, 4)        1.000000            0.000000
                     TS( 25, 5)        1.000000            0.000000
                     TS( 25, 6)        1.000000            0.000000
                     TS( 25, 7)        1.000000            0.000000
                     TS( 25, 9)        1.000000            0.000000
                     TS( 26, 1)        1.000000            0.000000
                     TS( 26, 2)        1.000000            0.000000
                     TS( 26, 4)        1.000000            0.000000
                     TS( 26, 5)        1.000000            0.000000
                     TS( 26, 6)        1.000000            0.000000
                     TS( 26, 7)        1.000000            0.000000
                     TS( 26, 8)        1.000000            0.000000
                     TS( 26, 9)        1.000000            0.000000
                     TS( 27, 1)        1.000000            0.000000
                     TS( 27, 2)        1.000000            0.000000
                     TS( 27, 4)        1.000000            0.000000
                     TS( 27, 5)        1.000000            0.000000
                     TS( 27, 6)        1.000000            0.000000
                     TS( 27, 7)        1.000000            0.000000
                     TS( 27, 8)        1.000000            0.000000
                     TS( 27, 9)        1.000000            0.000000
                     TS( 28, 1)        1.000000            0.000000
                     TS( 28, 2)        1.000000            0.000000
                     TS( 28, 4)        1.000000            0.000000
                     TS( 28, 5)        1.000000            0.000000
                     TS( 28, 6)        1.000000            0.000000
                     TS( 28, 7)        1.000000            0.000000
                     TS( 28, 8)        1.000000            0.000000
                     TS( 28, 9)        1.000000            0.000000
                     TS( 29, 1)        1.000000            0.000000
                     TS( 29, 2)        1.000000            0.000000
                     TS( 29, 4)        1.000000            0.000000
                     TS( 29, 5)        1.000000            0.000000
                     TS( 29, 6)        1.000000            0.000000
                     TS( 29, 7)        1.000000            0.000000
                     TS( 29, 8)        1.000000            0.000000
                     TS( 29, 9)        1.000000            0.000000
                     TS( 30, 1)        1.000000            0.000000
                     TS( 30, 2)        1.000000            0.000000
                     TS( 30, 4)        1.000000            0.000000
                     TS( 30, 5)        1.000000            0.000000
                     TS( 30, 6)        1.000000            0.000000
                     TS( 30, 7)        1.000000            0.000000
                     TS( 30, 8)        1.000000            0.000000
                     TS( 30, 9)        1.000000            0.000000
                     TS( 31, 1)        1.000000            0.000000
                     TS( 31, 2)        1.000000            0.000000
                     TS( 31, 4)        1.000000            0.000000
                     TS( 31, 5)        1.000000            0.000000
                     TS( 31, 6)        1.000000            0.000000
                     TS( 31, 7)        1.000000            0.000000
                     TS( 31, 8)        1.000000            0.000000
                     TS( 31, 9)        1.000000            0.000000
                     TS( 32, 1)        1.000000            0.000000
                     TS( 32, 2)        1.000000            0.000000
                     TS( 32, 4)        1.000000            0.000000
                     TS( 32, 5)        1.000000            0.000000
                     TS( 32, 6)        1.000000            0.000000
                     TS( 32, 7)        1.000000            0.000000
                     TS( 32, 8)        1.000000            0.000000
                     TS( 32, 9)        1.000000            0.000000
                     TS( 33, 1)        1.000000            0.000000
                     TS( 33, 2)        1.000000            0.000000
                     TS( 33, 3)        1.000000            0.000000
                     TS( 33, 4)        1.000000            0.000000
                     TS( 33, 5)        1.000000            0.000000
                     TS( 33, 6)        1.000000            0.000000
                     TS( 33, 7)        1.000000            0.000000
                     TS( 33, 8)        1.000000            0.000000
                     TS( 33, 9)        1.000000            0.000000
                      TE( 1, 1)        1.000000            0.000000
                      TE( 1, 2)        1.000000            0.000000
                      TE( 1, 3)        1.000000            0.000000
                      TE( 1, 4)        1.000000            0.000000
                      TE( 1, 5)        1.000000            0.000000
                      TE( 1, 6)        1.000000            0.000000
                      TE( 1, 7)        1.000000            0.000000
                      TE( 1, 8)        1.000000            0.000000
                      TE( 1, 9)        1.000000            0.000000
                      TE( 2, 1)        1.000000            0.000000
                      TE( 2, 2)        1.000000            0.000000
                      TE( 2, 3)        1.000000            0.000000
                      TE( 2, 4)        1.000000            0.000000
                      TE( 2, 5)        1.000000            0.000000
                      TE( 2, 6)        1.000000            0.000000
                      TE( 2, 7)        1.000000            0.000000
                      TE( 2, 8)        1.000000            0.000000
                      TE( 2, 9)        1.000000            0.000000
                      TE( 3, 1)        1.000000            0.000000
                      TE( 3, 2)        1.000000            0.000000
                      TE( 3, 3)        1.000000            0.000000
                      TE( 3, 4)        1.000000            0.000000
                      TE( 3, 5)        1.000000            0.000000
                      TE( 3, 6)        1.000000            0.000000
                      TE( 3, 7)        1.000000            0.000000
                      TE( 3, 8)        1.000000            0.000000
                      TE( 3, 9)        1.000000            0.000000
                      TE( 4, 1)        1.000000            0.000000
                      TE( 4, 2)        1.000000            0.000000
                      TE( 4, 3)        1.000000            0.000000
                      TE( 4, 4)        1.000000            0.000000
                      TE( 4, 5)        1.000000            0.000000
                      TE( 4, 6)        1.000000            0.000000
                      TE( 4, 7)        1.000000            0.000000
                      TE( 4, 8)        1.000000            0.000000
                      TE( 4, 9)        1.000000            0.000000
                      TE( 5, 1)        1.000000            0.000000
                      TE( 5, 2)        1.000000            0.000000
                      TE( 5, 3)        1.000000            0.000000
                      TE( 5, 4)        1.000000            0.000000
                      TE( 5, 5)        1.000000            0.000000
                      TE( 5, 6)        1.000000            0.000000
                      TE( 5, 7)        1.000000            0.000000
                      TE( 5, 8)        1.000000            0.000000
                      TE( 5, 9)        1.000000            0.000000
                      TE( 6, 1)        1.000000            0.000000
                      TE( 6, 2)        1.000000            0.000000
                      TE( 6, 3)        1.000000            0.000000
                      TE( 6, 4)        1.000000            0.000000
                      TE( 6, 5)        1.000000            0.000000
                      TE( 6, 6)        1.000000            0.000000
                      TE( 6, 7)        1.000000            0.000000
                      TE( 6, 8)        1.000000            0.000000
                      TE( 6, 9)        1.000000            0.000000
                      TE( 7, 1)        1.000000            0.000000
                      TE( 7, 2)        1.000000            0.000000
                      TE( 7, 3)        1.000000            0.000000
                      TE( 7, 4)        1.000000            0.000000
                      TE( 7, 5)        1.000000            0.000000
                      TE( 7, 6)        1.000000            0.000000
                      TE( 7, 7)        1.000000            0.000000
                      TE( 7, 8)        1.000000            0.000000
                      TE( 8, 1)        1.000000            0.000000
                      TE( 8, 2)        1.000000            0.000000
                      TE( 8, 3)        1.000000            0.000000
                      TE( 8, 4)        1.000000            0.000000
                      TE( 8, 5)        1.000000            0.000000
                      TE( 8, 6)        1.000000            0.000000
                      TE( 8, 7)        1.000000            0.000000
                      TE( 8, 8)        1.000000            0.000000
                      TE( 9, 1)        1.000000            0.000000
                      TE( 9, 2)        1.000000            0.000000
                      TE( 9, 3)        1.000000            0.000000
                      TE( 9, 4)        1.000000            0.000000
                      TE( 9, 5)        1.000000            0.000000
                      TE( 9, 6)        1.000000            0.000000
                      TE( 9, 7)        1.000000            0.000000
                      TE( 9, 8)        1.000000            0.000000
                     TE( 10, 1)        1.000000            0.000000
                     TE( 10, 2)        1.000000            0.000000
                     TE( 10, 3)        1.000000            0.000000
                     TE( 10, 5)        1.000000            0.000000
                     TE( 10, 6)        1.000000            0.000000
                     TE( 10, 7)        1.000000            0.000000
                     TE( 10, 8)        1.000000            0.000000
                     TE( 11, 1)        1.000000            0.000000
                     TE( 11, 2)        1.000000            0.000000
                     TE( 11, 3)        1.000000            0.000000
                     TE( 11, 5)        1.000000            0.000000
                     TE( 11, 6)        1.000000            0.000000
                     TE( 11, 7)        1.000000            0.000000
                     TE( 11, 8)        1.000000            0.000000
                     TE( 12, 1)        1.000000            0.000000
                     TE( 12, 2)        1.000000            0.000000
                     TE( 12, 3)        1.000000            0.000000
                     TE( 12, 5)        1.000000            0.000000
                     TE( 12, 7)        1.000000            0.000000
                     TE( 12, 8)        1.000000            0.000000
                     TE( 13, 1)        1.000000            0.000000
                     TE( 13, 2)        1.000000            0.000000
                     TE( 13, 3)        1.000000            0.000000
                     TE( 13, 5)        1.000000            0.000000
                     TE( 13, 7)        1.000000            0.000000
                     TE( 13, 8)        1.000000            0.000000
                     TE( 14, 1)        1.000000            0.000000
                     TE( 14, 2)        1.000000            0.000000
                     TE( 14, 3)        1.000000            0.000000
                     TE( 14, 5)        1.000000            0.000000
                     TE( 14, 7)        1.000000            0.000000
                     TE( 14, 8)        1.000000            0.000000
                     TE( 15, 1)        1.000000            0.000000
                     TE( 15, 2)        1.000000            0.000000
                     TE( 15, 3)        1.000000            0.000000
                     TE( 15, 7)        1.000000            0.000000
                     TE( 15, 8)        1.000000            0.000000
                     TE( 16, 1)        1.000000            0.000000
                     TE( 16, 2)        1.000000            0.000000
                     TE( 16, 3)        1.000000            0.000000
                     TE( 16, 7)        1.000000            0.000000
